CustomerID,Recency,Frequency,Monetary,TotalItems,AvgRevenuePerTransaction,UniqueProducts,LifespanDays,TotalTransactions,Cluster,Segment
12412,74,3,1142.88,824,19.7048275862069,42,94,58,0,Low Engagement
12413,66,3,686.1,282,19.058333333333334,28,270,36,0,Low Engagement
12414,216,3,442.41,297,29.494000000000003,15,93,15,1,Regular Customers
12415,24,15,44498.59,40607,89.71489919354838,358,312,496,2,Loyal Customers
12417,2,9,3226.1,1527,17.62896174863388,157,354,183,2,Loyal Customers
12418,112,1,668.58,407,19.664117647058823,34,0,34,1,Regular Customers
12420,63,1,600.39,345,20.70310344827586,29,0,29,1,Regular Customers
12421,15,4,639.04,478,15.586341463414634,31,303,41,0,Low Engagement
12422,95,3,683.5600000000001,367,17.98842105263158,38,229,38,0,Low Engagement
12423,0,8,1634.31,1324,13.968461538461538,96,352,117,2,Loyal Customers
12424,162,2,1454.96,668,50.17103448275862,29,0,29,0,Low Engagement
12425,77,1,777.2,496,21.58888888888889,36,0,36,0,Low Engagement
12426,194,1,510.73,254,17.611379310344827,29,0,29,1,Regular Customers
12427,21,3,699.8,526,24.99285714285714,25,349,28,0,Low Engagement
12428,25,8,6405.26,3509,22.317979094076655,256,257,287,2,Loyal Customers
12429,8,4,3388.4,1538,36.0468085106383,81,356,94,2,Loyal Customers
12430,42,1,216.4,116,21.64,10,0,10,1,Regular Customers
12431,59,14,5087.11,2121,22.214454148471614,162,313,229,2,Loyal Customers
12432,42,4,3884.12,1704,36.99161904761905,104,129,105,0,Low Engagement
12433,0,7,12968.83,10687,31.025909090909092,219,372,418,2,Loyal Customers
12434,84,2,806.14,394,16.122799999999998,46,175,50,0,Low Engagement
12435,79,2,2229.34,1050,117.33368421052633,18,188,19,3,VIP Customers
12436,99,1,429.01000000000005,209,28.60066666666667,15,0,15,1,Regular Customers
12437,1,18,4447.41,2894,24.17070652173913,117,329,184,2,Loyal Customers
12438,13,2,2466.85,1169,25.696354166666666,83,125,96,0,Low Engagement
12441,366,1,155.55,120,15.555000000000001,10,0,10,1,Regular Customers
12442,2,1,144.06,181,13.096363636363636,11,0,11,1,Regular Customers
12444,20,5,4085.46,1130,23.752674418604652,137,149,172,2,Loyal Customers
12445,21,1,77.4,60,25.8,3,0,3,1,Regular Customers
12446,57,1,1002.3100000000001,351,17.584385964912283,57,0,57,0,Low Engagement
12447,242,1,431.49,187,17.2596,25,0,25,1,Regular Customers
12448,43,1,365.45,240,17.402380952380952,21,0,21,1,Regular Customers
12449,21,4,3596.29,1523,19.231497326203208,117,164,187,2,Loyal Customers
12450,155,2,197.88,128,24.735,7,17,8,1,Regular Customers
12451,10,5,8750.72,6478,24.86,264,313,352,2,Loyal Customers
12452,16,1,348.57,181,17.4285,20,0,20,1,Regular Customers
12453,133,1,707.09,473,16.443953488372095,43,0,43,1,Regular Customers
12454,55,1,1009.0,284,144.14285714285714,7,0,7,3,VIP Customers
12455,72,5,2339.86,2084,27.527764705882355,84,223,85,0,Low Engagement
12456,43,3,2581.04,1618,21.15606557377049,104,210,122,0,Low Engagement
12457,65,6,2043.23,835,34.631016949152546,52,172,59,0,Low Engagement
12458,70,2,787.4,502,21.87222222222222,34,213,36,0,Low Engagement
12461,154,1,626.88,282,18.43764705882353,34,0,34,1,Regular Customers
12462,18,2,937.59,527,15.6265,50,284,60,0,Low Engagement
12463,52,4,1200.78,768,15.199746835443039,64,188,79,0,Low Engagement
12464,9,8,957.05,95,43.502272727272725,5,299,22,0,Low Engagement
12465,16,2,682.1899999999999,475,15.159777777777776,45,152,45,0,Low Engagement
12468,187,2,657.54,362,18.265,35,128,36,0,Low Engagement
12471,1,27,12743.05,7628,29.773481308411213,148,362,428,2,Loyal Customers
12472,31,7,6068.11,4120,18.277439759036145,218,336,332,2,Loyal Customers
12473,53,3,2585.73,2394,16.1608125,138,138,160,0,Low Engagement
12474,16,18,6694.09,4798,16.487906403940887,252,312,406,2,Loyal Customers
12475,53,1,669.38,532,19.12514285714286,35,0,35,0,Low Engagement
12476,15,11,5898.42,2357,26.332232142857144,176,345,224,2,Loyal Customers
12477,22,6,11184.94,3253,38.1738566552901,189,278,293,2,Loyal Customers
12478,3,1,545.99,233,15.599714285714287,35,0,35,1,Regular Customers
12479,10,1,473.2,382,15.773333333333333,30,0,30,1,Regular Customers
12480,27,4,2568.83,1493,17.240469798657717,128,307,149,2,Loyal Customers
12481,22,10,5003.82,3262,24.056826923076922,149,342,208,2,Loyal Customers
12483,16,8,1910.98,1094,28.10264705882353,45,322,68,0,Low Engagement
12484,34,4,3939.32,2166,11.620412979351032,255,301,339,2,Loyal Customers
12488,9,3,1244.66,526,23.049259259259262,45,65,54,0,Low Engagement
12489,335,1,298.93,103,21.35214285714286,14,0,14,1,Regular Customers
12490,4,10,4859.93,3033,20.680553191489363,130,324,235,2,Loyal Customers
12491,38,1,424.40000000000003,258,16.976000000000003,24,0,25,1,Regular Customers
12492,62,2,227.21,190,12.622777777777777,18,42,18,1,Regular Customers
12493,165,2,415.74,206,19.79714285714286,19,31,21,1,Regular Customers
12494,15,7,1084.1000000000001,698,15.269014084507043,62,349,71,0,Low Engagement
12497,81,1,953.1,1231,73.31538461538462,13,0,13,3,VIP Customers
12498,20,3,349.70000000000005,156,16.652380952380955,20,36,21,1,Regular Customers
12500,22,11,3130.54,2319,62.6108,33,310,50,2,Loyal Customers
12501,336,1,2025.39,1775,13.685067567567568,148,0,148,0,Low Engagement
12502,95,5,2995.87,794,21.097676056338027,101,214,142,0,Low Engagement
12504,17,2,428.04999999999995,87,53.506249999999994,5,12,8,1,Regular Customers
12506,232,1,73.5,23,3.1956521739130435,23,0,23,1,Regular Customers
12507,133,3,844.01,741,46.88944444444444,17,164,18,0,Low Engagement
12508,25,2,397.88,271,5.851176470588236,57,2,68,0,Low Engagement
12509,283,1,158.5,54,26.416666666666668,6,0,6,1,Regular Customers
12510,142,2,814.5699999999999,347,26.276451612903223,28,182,31,0,Low Engagement
12512,65,2,132.18,96,4.263870967741935,31,0,31,1,Regular Customers
12513,112,1,558.29,459,16.420294117647057,34,0,34,1,Regular Customers
12514,266,1,1017.68,440,19.954509803921567,51,0,51,1,Regular Customers
12515,352,1,278.7,128,18.58,15,0,15,1,Regular Customers
12516,77,2,1186.06,868,49.41916666666666,19,102,24,0,Low Engagement
12517,27,4,2301.6,1351,8.339130434782609,231,161,276,2,Loyal Customers
12518,0,5,1840.89,1306,15.46966386554622,83,109,119,0,Low Engagement
12519,63,1,276.84,172,17.3025,16,0,16,1,Regular Customers
12520,78,5,2346.2599999999998,1423,15.96095238095238,120,194,147,2,Loyal Customers
12521,142,1,545.68,306,14.748108108108108,37,0,37,1,Regular Customers
12522,38,2,156.72,192,15.672,10,12,10,1,Regular Customers
12523,18,11,1699.77,860,16.664411764705882,83,312,102,2,Loyal Customers
12524,8,8,3945.72,3669,29.01264705882353,112,324,136,2,Loyal Customers
12526,0,3,1172.66,624,17.245,63,93,68,0,Low Engagement
12527,81,3,330.71000000000004,233,19.45352941176471,17,243,17,0,Low Engagement
12528,8,6,1645.48,740,19.133488372093023,49,303,86,0,Low Engagement
12530,59,4,1500.28,904,24.198064516129033,50,277,62,0,Low Engagement
12531,14,1,125.22,45,7.365882352941177,17,0,17,1,Regular Customers
12532,29,1,313.83000000000004,151,20.922000000000004,15,0,15,1,Regular Customers
12534,130,1,981.18,645,15.82548387096774,62,0,62,0,Low Engagement
12535,91,2,716.35,219,21.069117647058825,28,94,34,0,Low Engagement
12536,58,1,4279.71,2801,16.523976833976835,259,0,259,2,Loyal Customers
12538,28,1,363.95,191,17.33095238095238,21,0,21,1,Regular Customers
12539,21,4,5568.35,2067,20.396886446886448,157,311,273,2,Loyal Customers
12540,19,17,11580.24,6620,25.11982646420824,276,342,461,2,Loyal Customers
12541,29,3,841.18,675,17.166938775510204,45,251,49,0,Low Engagement
12544,35,1,316.7,134,17.594444444444445,18,0,18,1,Regular Customers
12545,74,2,832.39,517,17.341458333333332,41,184,48,0,Low Engagement
12546,46,2,1021.5,628,15.246268656716419,58,31,67,0,Low Engagement
12547,197,2,151.79999999999998,132,25.299999999999997,6,82,6,1,Regular Customers
12548,165,1,67.19999999999999,48,16.799999999999997,4,0,4,1,Regular Customers
12550,78,1,824.83,564,14.729107142857144,56,0,56,0,Low Engagement
12551,357,1,168.0,100,16.8,10,0,10,1,Regular Customers
12552,39,1,317.82,85,16.72736842105263,19,0,19,1,Regular Customers
12553,7,10,3278.28,1942,18.012527472527474,94,321,182,2,Loyal Customers
12556,49,2,599.56,355,5.038319327731092,100,100,119,0,Low Engagement
12557,157,3,1691.34,1142,93.96333333333332,11,213,18,3,VIP Customers
12558,7,1,269.96,196,24.54181818181818,11,0,11,1,Regular Customers
12559,310,2,525.71,281,26.285500000000003,20,8,20,1,Regular Customers
12560,4,2,1918.01,1098,18.621456310679612,90,137,103,0,Low Engagement
12561,302,1,238.85,177,14.928125,16,0,16,1,Regular Customers
12562,7,7,3385.7400000000002,1757,21.02944099378882,98,190,161,2,Loyal Customers
12564,260,1,402.9,130,20.145,20,0,20,1,Regular Customers
12565,288,1,145.92,80,16.21333333333333,9,0,9,1,Regular Customers
12566,85,1,297.65,262,16.53611111111111,18,0,18,1,Regular Customers
12567,22,10,8609.28,4261,19.655890410958907,322,346,438,2,Loyal Customers
12569,1,32,3152.69,1747,20.080828025477707,91,250,157,2,Loyal Customers
12571,39,2,519.61,523,15.28264705882353,31,81,34,0,Low Engagement
12572,8,2,912.42,446,15.731379310344828,52,43,58,0,Low Engagement
12573,226,1,160.54000000000002,84,5.733571428571429,26,0,28,1,Regular Customers
12574,315,1,182.45000000000002,59,18.245,10,0,10,1,Regular Customers
12576,35,5,1315.83,967,14.952613636363635,72,268,88,0,Low Engagement
12577,34,3,622.65,468,4.2941379310344825,136,323,145,0,Low Engagement
12578,20,2,2402.51,1182,21.450982142857146,110,308,112,0,Low Engagement
12579,77,1,386.42,282,13.800714285714287,28,0,28,1,Regular Customers
12580,246,1,379.7,236,16.508695652173913,23,0,23,1,Regular Customers
12581,39,1,179.71,160,12.836428571428572,14,0,14,1,Regular Customers
12582,238,2,351.36,296,17.568,20,49,20,1,Regular Customers
12583,2,15,6705.38,5028,28.9025,114,370,232,2,Loyal Customers
12584,3,9,2254.15,413,23.727894736842106,43,276,95,0,Low Engagement
12585,233,2,1824.1,1267,21.459999999999997,76,117,85,0,Low Engagement
12586,16,1,196.94000000000003,79,17.903636363636366,11,0,11,1,Regular Customers
12587,7,1,104.0,50,34.666666666666664,3,0,3,1,Regular Customers
12588,38,1,174.89999999999998,52,19.43333333333333,9,0,9,1,Regular Customers
12589,28,2,574.68,302,17.414545454545454,28,115,33,0,Low Engagement
12590,210,1,5569.0599999999995,2838,105.07660377358489,53,0,53,3,VIP Customers
12591,316,1,368.85,225,14.754000000000001,25,0,25,1,Regular Customers
12592,91,2,401.6,288,25.1,10,121,16,1,Regular Customers
12593,108,3,382.09999999999997,204,19.104999999999997,13,110,20,1,Regular Customers
12594,37,9,3208.2200000000003,1772,28.142280701754387,49,285,114,2,Loyal Customers
12596,50,2,450.27,468,18.0108,24,190,25,0,Low Engagement
12597,18,4,3195.22,2214,15.817920792079207,183,248,202,2,Loyal Customers
12598,9,7,2807.08,1952,22.10299212598425,83,275,127,2,Loyal Customers
12599,28,7,888.58,948,16.156000000000002,31,275,55,0,Low Engagement
12600,28,10,2073.44,710,39.12150943396227,31,342,53,0,Low Engagement
12601,189,5,487.06,240,21.176521739130436,20,142,23,0,Low Engagement
12602,58,1,153.12,162,12.76,12,0,12,1,Regular Customers
12604,78,2,236.18,200,15.745333333333333,14,182,15,1,Regular Customers
12607,59,1,1579.51,1228,15.63871287128713,101,0,101,0,Low Engagement
12609,77,3,964.85,639,16.92719298245614,56,240,57,0,Low Engagement
12610,22,4,1747.54,1039,17.132745098039216,84,103,102,0,Low Engagement
12611,51,1,1193.32,846,18.35876923076923,65,0,65,0,Low Engagement
12612,73,1,668.0400000000001,260,37.11333333333334,18,0,18,1,Regular Customers
12613,56,4,3092.38,1630,20.754228187919463,123,204,149,2,Loyal Customers
12614,277,1,315.6,76,15.780000000000001,20,0,20,1,Regular Customers
12615,1,4,2093.19,1365,20.724653465346535,81,166,101,0,Low Engagement
12616,94,2,641.3,280,21.376666666666665,24,202,30,0,Low Engagement
12617,28,1,352.98,210,8.609268292682927,39,0,41,1,Regular Customers
12618,21,1,137.31,95,13.731,10,0,10,1,Regular Customers
12619,15,8,2945.56,3360,35.92146341463415,48,237,82,2,Loyal Customers
12620,14,3,1303.41,1179,14.323186813186814,88,189,91,0,Low Engagement
12621,1,19,10449.07,6365,23.694036281179137,258,364,441,2,Loyal Customers
12622,231,1,162.1,68,16.21,10,0,10,1,Regular Customers
12623,275,1,269.1,189,15.829411764705883,17,0,17,1,Regular Customers
12624,105,2,569.13,351,15.809166666666666,35,71,36,0,Low Engagement
12625,211,2,2413.82,1597,28.735952380952384,72,107,84,0,Low Engagement
12626,22,9,5954.48,3416,20.892912280701754,231,303,285,2,Loyal Customers
12627,10,6,4082.53,2730,18.225580357142857,161,129,224,2,Loyal Customers
12628,3,3,732.46,445,19.275263157894738,33,60,38,0,Low Engagement
12630,9,2,1030.88,542,16.62709677419355,59,34,62,0,Low Engagement
12631,56,1,480.5,232,16.016666666666666,30,0,30,1,Regular Customers
12633,58,4,1503.78,913,15.829263157894736,70,229,95,0,Low Engagement
12635,89,2,1509.18,1162,15.244242424242424,95,65,99,0,Low Engagement
12637,66,8,5804.9,2983,15.316358839050132,204,256,379,2,Loyal Customers
12638,32,1,511.69,573,13.465526315789473,38,0,38,0,Low Engagement
12639,238,1,366.1,198,17.433333333333334,21,0,21,1,Regular Customers
12640,23,3,994.58,301,19.8916,46,57,50,0,Low Engagement
12641,114,1,145.9,71,16.211111111111112,9,0,9,1,Regular Customers
12642,24,3,905.26,546,20.57409090909091,38,82,44,0,Low Engagement
12643,127,3,701.04,704,63.73090909090909,7,92,11,3,VIP Customers
12644,129,1,477.91,325,15.416451612903227,31,0,31,1,Regular Customers
12645,33,4,1631.18,1076,23.640289855072464,57,282,69,0,Low Engagement
12646,4,2,1346.97,897,29.932666666666666,43,44,45,0,Low Engagement
12647,21,12,3146.82,1399,28.869908256880734,77,346,109,2,Loyal Customers
12648,154,1,300.05,159,15.002500000000001,20,0,20,1,Regular Customers
12649,106,3,569.51,583,19.638275862068966,27,105,29,0,Low Engagement
12650,2,1,242.44000000000003,250,12.760000000000002,19,0,19,1,Regular Customers
12651,334,1,114.0,78,12.666666666666666,9,0,9,1,Regular Customers
12652,330,1,793.98,498,16.8931914893617,47,0,47,1,Regular Customers
12653,148,2,1859.45,887,44.272619047619045,37,147,42,0,Low Engagement
12654,10,5,529.98,260,15.58764705882353,30,284,34,0,Low Engagement
12656,16,5,3364.17,1599,28.03475,88,216,120,2,Loyal Customers
12657,10,4,1427.18,1032,32.43590909090909,34,67,44,0,Low Engagement
12658,18,1,632.05,317,18.058571428571426,35,0,35,0,Low Engagement
12659,29,1,73.68,104,18.42,4,0,4,1,Regular Customers
12660,10,1,227.1,126,18.925,12,0,12,1,Regular Customers
12662,0,11,3543.78,2041,16.10809090909091,128,372,220,2,Loyal Customers
12664,35,6,1717.8000000000002,468,95.43333333333334,9,286,18,3,VIP Customers
12665,324,1,45.0,36,22.5,2,0,2,1,Regular Customers
12667,57,1,460.13,391,14.3790625,32,0,32,1,Regular Customers
12668,11,4,3177.15,1599,20.236624203821655,114,343,157,2,Loyal Customers
12669,150,2,1427.73,1104,14.568673469387756,96,105,98,0,Low Engagement
12670,9,5,2744.05,1383,31.54080459770115,57,222,87,0,Low Engagement
12672,329,1,225.89999999999998,78,22.589999999999996,10,0,10,1,Regular Customers
12673,4,2,574.52,349,14.012682926829267,41,321,41,0,Low Engagement
12674,38,4,1844.6,1126,23.349367088607593,51,169,79,0,Low Engagement
12676,24,6,1091.39,664,27.984358974358976,32,286,39,0,Low Engagement
12678,41,10,9545.18,7601,68.17985714285714,93,311,140,2,Loyal Customers
12679,58,4,951.02,545,21.61409090909091,42,225,44,0,Low Engagement
12680,0,4,790.81,439,16.138979591836733,32,112,49,0,Low Engagement
12681,14,22,12150.74,7337,19.75730081300813,266,353,615,2,Loyal Customers
12682,3,30,10418.38,5149,21.13261663286004,208,367,493,2,Loyal Customers
12683,3,14,7612.57,4934,22.99870090634441,176,361,331,2,Loyal Customers
12684,7,6,2073.63,1973,21.15948979591837,59,205,98,0,Low Engagement
12685,27,6,2575.08,1507,17.053509933774833,116,65,151,0,Low Engagement
12686,371,1,71.14,106,11.856666666666667,6,0,6,1,Regular Customers
12688,113,1,4873.8099999999995,3028,28.501812865497072,171,0,171,0,Low Engagement
12689,25,2,1139.61,622,16.280142857142856,56,101,70,0,Low Engagement
12690,205,1,335.01,103,22.334,15,0,15,1,Regular Customers
12691,27,5,927.8,388,34.36296296296296,20,329,27,0,Low Engagement
12693,126,4,711.91,247,20.340285714285713,34,192,35,0,Low Engagement
12694,69,2,761.67,503,21.762,31,112,35,0,Low Engagement
12695,6,4,582.1,220,21.55925925925926,23,203,27,0,Low Engagement
12697,28,3,757.59,503,19.93657894736842,36,140,38,0,Low Engagement
12700,7,4,4525.99,2944,17.143901515151516,192,207,264,2,Loyal Customers
12701,79,2,725.71,674,14.229607843137256,49,162,51,0,Low Engagement
12702,19,1,201.0,52,18.272727272727273,11,0,11,1,Regular Customers
12703,70,1,265.55,163,13.2775,20,0,20,1,Regular Customers
12704,6,8,1740.84,991,21.49185185185185,63,162,81,0,Low Engagement
12705,14,8,6382.29,3970,19.458201219512194,227,341,328,2,Loyal Customers
12707,291,1,603.42,256,18.285454545454545,33,0,33,1,Regular Customers
12708,29,10,2442.91,1292,16.61843537414966,85,338,147,2,Loyal Customers
12709,14,15,8134.52,3775,41.08343434343435,91,351,198,2,Loyal Customers
12710,96,3,1023.02,844,13.824594594594595,74,104,74,0,Low Engagement
12712,28,13,3928.13,1036,32.73441666666667,57,342,120,2,Loyal Customers
12713,0,1,794.55,505,21.47432432432432,37,0,37,0,Low Engagement
12714,8,5,4294.86,3046,16.908897637795274,215,285,254,2,Loyal Customers
12715,105,1,263.36,190,13.861052631578948,19,0,19,1,Regular Customers
12716,3,2,963.49,703,14.38044776119403,59,129,67,0,Low Engagement
12717,150,2,830.98,502,15.678867924528301,48,94,53,0,Low Engagement
12718,70,1,202.25,201,11.23611111111111,18,0,18,1,Regular Customers
12719,4,2,572.95,370,15.485135135135137,33,59,37,0,Low Engagement
12720,2,25,5115.7300000000005,4635,14.958274853801171,210,366,342,2,Loyal Customers
12721,31,6,2386.13,1944,15.394387096774194,132,323,155,2,Loyal Customers
12722,84,4,979.63,565,18.83903846153846,49,65,52,0,Low Engagement
12723,3,5,707.07,433,10.398088235294118,52,61,68,0,Low Engagement
12724,4,4,923.41,439,18.845102040816325,46,327,49,0,Low Engagement
12725,370,1,371.8,162,16.16521739130435,23,0,23,1,Regular Customers
12726,27,7,2411.1,3132,20.607692307692307,56,329,117,2,Loyal Customers
12727,10,7,3440.7,2068,26.065909090909088,108,309,132,2,Loyal Customers
12728,70,4,728.33,413,17.341190476190476,37,261,42,0,Low Engagement
12729,113,1,417.01,231,16.6804,25,0,25,1,Regular Customers
12731,23,12,14036.31,6805,54.61599221789883,105,341,257,2,Loyal Customers
12732,179,1,218.26000000000002,110,19.841818181818184,11,0,11,1,Regular Customers
12733,233,1,383.95,137,17.452272727272728,22,0,22,1,Regular Customers
12734,352,1,110.39999999999999,88,27.599999999999998,4,0,4,1,Regular Customers
12735,314,2,689.5699999999999,363,16.818780487804876,37,21,41,1,Regular Customers
12736,332,1,144.0,168,48.0,3,0,3,1,Regular Customers
12738,371,1,137.35,147,13.735,10,0,10,1,Regular Customers
12739,98,1,975.54,485,26.365945945945946,37,0,37,0,Low Engagement
12740,63,1,427.6,342,15.837037037037037,27,0,27,1,Regular Customers
12743,133,2,540.13,315,4.123129770992366,114,0,131,0,Low Engagement
12744,55,4,8870.39,5232,41.45042056074766,176,262,214,2,Loyal Customers
12747,1,11,3710.0099999999998,1203,36.73277227722772,42,366,101,2,Loyal Customers
12748,0,206,30236.5,24411,6.8828818575005695,1764,372,4393,2,Loyal Customers
12749,3,5,4090.88,1471,20.55718592964824,160,209,199,2,Loyal Customers
12750,128,1,275.88,137,18.392,15,0,15,1,Regular Customers
12752,80,1,2878.78,1926,61.25063829787234,47,0,47,0,Low Engagement
12753,22,6,16052.95,9927,90.69463276836159,126,339,177,2,Loyal Customers
12754,235,3,975.54,2641,17.73709090909091,49,72,55,0,Low Engagement
12755,280,1,17.549999999999997,3,5.849999999999999,3,0,3,1,Regular Customers
12756,86,1,112.07999999999998,144,28.019999999999996,4,0,4,1,Regular Customers
12757,15,9,4176.75,2387,11.666899441340782,235,195,358,2,Loyal Customers
12758,116,2,2791.59,2135,28.779278350515465,84,159,97,0,Low Engagement
12759,51,3,1411.44,894,15.341739130434783,80,223,92,0,Low Engagement
12762,7,2,1702.52,1220,25.410746268656716,61,17,67,0,Low Engagement
12763,137,2,494.08,316,27.448888888888888,16,230,18,0,Low Engagement
12764,316,1,1693.88,386,37.64177777777778,45,0,45,1,Regular Customers
12766,3,7,6457.63,3627,21.103366013071895,204,362,306,2,Loyal Customers
12769,238,1,1143.6,356,35.7375,32,0,32,1,Regular Customers
12770,210,1,1033.45,703,93.95,11,0,11,3,VIP Customers
12772,59,1,752.47,551,13.93462962962963,54,0,54,0,Low Engagement
12775,16,5,1281.04,870,21.000655737704918,46,294,61,0,Low Engagement
12778,19,6,693.23,817,15.755227272727273,39,292,44,0,Low Engagement
12779,37,8,3981.36,2024,26.72053691275168,88,333,149,2,Loyal Customers
12781,63,2,786.74,670,32.780833333333334,24,221,24,0,Low Engagement
12782,4,5,1938.92,1072,19.784897959183674,80,352,98,2,Loyal Customers
12783,1,4,1295.87,611,16.613717948717948,74,73,78,0,Low Engagement
12784,14,1,476.82,278,8.514642857142857,53,0,56,0,Low Engagement
12785,363,1,255.95,129,19.68846153846154,13,0,13,1,Regular Customers
12787,9,3,418.66,258,24.627058823529413,16,182,17,0,Low Engagement
12789,64,1,76.85,3,25.616666666666664,3,0,3,1,Regular Customers
12790,191,1,294.92,164,14.746,20,0,20,1,Regular Customers
12791,373,1,177.60000000000002,96,177.60000000000002,1,0,1,3,VIP Customers
12792,256,1,344.53999999999996,215,14.355833333333331,24,0,24,1,Regular Customers
12793,334,2,461.48,292,20.976363636363637,20,36,22,1,Regular Customers
12794,52,2,860.41,592,19.12022222222222,43,45,45,0,Low Engagement
12795,18,1,318.48,64,24.49846153846154,13,0,13,1,Regular Customers
12797,365,1,226.03,117,18.835833333333333,12,0,12,1,Regular Customers
12798,170,1,224.64,528,112.32,2,0,2,3,VIP Customers
12802,186,1,397.58,312,16.565833333333334,24,0,24,1,Regular Customers
12808,36,3,455.65000000000003,187,16.875925925925927,26,331,27,0,Low Engagement
12809,177,1,405.31,217,16.887916666666666,24,0,24,1,Regular Customers
12811,261,2,458.85,227,16.3875,26,22,28,1,Regular Customers
12812,44,1,229.64000000000001,164,15.309333333333335,15,0,15,1,Regular Customers
12814,101,1,85.92,48,85.92,1,0,1,3,VIP Customers
12815,147,2,863.46,374,19.188000000000002,37,50,45,0,Low Engagement
12816,95,2,452.20000000000005,125,16.74814814814815,26,80,27,1,Regular Customers
12817,280,1,126.03999999999999,52,42.01333333333333,3,0,3,1,Regular Customers
12818,261,1,577.28,632,52.48,11,0,11,1,Regular Customers
12820,2,4,942.34,722,15.97186440677966,55,323,59,0,Low Engagement
12821,213,1,92.72,70,15.453333333333333,6,0,6,1,Regular Customers
12822,70,2,948.88,550,20.62782608695652,41,16,46,0,Low Engagement
12824,59,1,397.12,232,15.8848,25,0,25,1,Regular Customers
12826,2,7,1474.72,1058,16.205714285714286,58,362,91,2,Loyal Customers
