CustomerID,LastPurchaseDate,UniquePurchaseDays,TotalOrders,TotalRevenue,TotalQuantity,Recency,Frequency,Monetary,AverageOrderValue,PurchaseFrequency,CLV,AverageBasketSize
12383,2011-06-08 08:02:00,5,5,1595,1518,185,5,1595,319.0,1.0,3828.0,303.6
12384,2011-11-11 08:39:00,2,2,413,122,29,2,413,206.5,1.0,2478.0,61.0
12386,2011-01-06 12:37:00,2,2,399,354,338,2,399,199.5,1.0,2394.0,177.0
12388,2011-11-24 12:30:00,6,6,2733,1462,16,6,2733,455.5,1.0,5466.0,243.66666666666666
12390,2011-09-21 09:33:00,1,1,488,350,80,1,488,488.0,1.0,5856.0,350.0
12391,2011-11-18 12:07:00,1,1,409,300,22,1,409,409.0,1.0,4908.0,300.0
12393,2011-09-28 15:41:00,4,4,1560,816,72,4,1560,390.0,1.0,4680.0,204.0
12394,2011-10-07 08:08:00,2,2,1068,808,64,2,1068,534.0,1.0,6408.0,404.0
12395,2011-11-20 15:21:00,12,12,2625,2097,19,12,2625,218.75,1.0,2625.0,174.75
12397,2011-11-04 09:52:00,2,2,2162,1250,36,2,2162,1081.0,1.0,12972.0,625.0
12398,2011-10-25 10:27:00,1,1,1400,1389,46,1,1400,1400.0,1.0,16800.0,1389.0
12399,2011-08-12 13:15:00,4,4,1011,1173,119,4,1011,252.75,1.0,3033.0,293.25
12401,2011-02-09 13:50:00,1,1,67,10,303,1,67,67.0,1.0,804.0,10.0
12402,2011-01-20 13:49:00,1,1,190,92,323,1,190,190.0,1.0,2280.0,92.0
12403,2011-10-21 10:51:00,1,1,390,94,50,1,390,390.0,1.0,4680.0,94.0
12405,2011-07-14 08:52:00,1,1,1364,849,149,1,1364,1364.0,1.0,16368.0,849.0
12406,2011-11-17 19:22:00,2,2,3370,1818,22,2,3370,1685.0,1.0,20220.0,909.0
12407,2011-10-21 10:11:00,5,5,1467,1403,50,5,1467,293.4,1.0,3520.7999999999997,280.6
12408,2011-11-07 12:27:00,5,5,2572,1391,33,5,2572,514.4,1.0,6172.799999999999,278.2
12409,2011-09-22 10:38:00,3,3,11038,5551,79,3,11038,3679.3333333333335,1.0,44152.0,1850.3333333333333
12410,2011-02-04 10:39:00,2,2,525,207,309,2,525,262.5,1.0,3150.0,103.5
12412,2011-09-26 10:16:00,3,3,1115,824,75,3,1115,371.6666666666667,1.0,4460.0,274.6666666666667
12413,2011-10-04 09:00:00,3,3,664,282,67,3,664,221.33333333333334,1.0,2656.0,94.0
12414,2011-05-06 14:51:00,3,3,435,297,217,3,435,145.0,1.0,1740.0,99.0
12415,2011-11-15 14:22:00,19,20,124316,77373,24,20,124316,6215.8,1.0526315789473684,78515.36842105263,3868.65
12417,2011-12-06 14:52:00,9,9,3140,1527,3,9,3140,348.8888888888889,1.0,4186.666666666667,169.66666666666666
12418,2011-08-19 11:08:00,1,1,655,407,113,1,655,655.0,1.0,7860.0,407.0
12420,2011-10-07 08:55:00,1,1,584,345,64,1,584,584.0,1.0,7008.0,345.0
12421,2011-11-24 09:07:00,4,4,624,478,16,4,624,156.0,1.0,1872.0,119.5
12422,2011-09-05 09:48:00,3,3,664,367,96,3,664,221.33333333333334,1.0,2656.0,122.33333333333333
12423,2011-12-09 10:10:00,8,8,1578,1324,1,8,1578,197.25,1.0,2367.0,165.5
12424,2011-06-30 12:06:00,1,2,1745,740,163,2,1745,872.5,2.0,20940.0,370.0
12425,2011-09-22 17:31:00,1,1,759,496,78,1,759,759.0,1.0,9108.0,496.0
12426,2011-05-29 12:26:00,1,1,495,254,195,1,495,495.0,1.0,5940.0,254.0
12427,2011-11-18 08:56:00,3,3,685,526,22,3,685,228.33333333333334,1.0,2740.0,175.33333333333334
12428,2011-11-14 08:22:00,8,8,6275,3509,26,8,6275,784.375,1.0,9412.5,438.625
12429,2011-11-30 17:22:00,4,4,3357,1538,9,4,3357,839.25,1.0,10071.0,384.5
12430,2011-10-27 15:09:00,1,1,212,116,43,1,212,212.0,1.0,2544.0,116.0
12431,2011-11-04 11:55:00,15,15,6268,2899,36,15,6268,417.8666666666667,1.0,5014.4,193.26666666666668
12432,2011-10-28 11:43:00,4,4,4318,1800,43,4,4318,1079.5,1.0,12954.0,450.0
12433,2011-12-09 10:02:00,7,7,13226,11071,1,7,13226,1889.4285714285713,1.0,22673.142857142855,1581.5714285714287
12434,2011-09-16 12:38:00,2,2,781,394,85,2,781,390.5,1.0,4686.0,197.0
12435,2011-09-21 09:06:00,2,2,7817,2055,80,2,7817,3908.5,1.0,46902.0,1027.5
12436,2011-09-01 12:09:00,1,1,423,209,100,1,423,423.0,1.0,5076.0,209.0
12437,2011-12-08 11:35:00,18,18,4381,2894,2,18,4381,243.38888888888889,1.0,2920.6666666666665,160.77777777777777
12438,2011-11-25 13:28:00,2,2,2427,1169,14,2,2427,1213.5,1.0,14562.0,584.5
12441,2010-12-08 10:45:00,1,1,151,120,367,1,151,151.0,1.0,1812.0,120.0
12442,2011-12-06 14:22:00,1,1,139,181,3,1,139,139.0,1.0,1668.0,181.0
12444,2011-11-18 13:23:00,5,5,4006,1130,21,5,4006,801.2,1.0,9614.400000000001,226.0
12445,2011-11-17 18:43:00,1,1,77,60,22,1,77,77.0,1.0,924.0,60.0
12446,2011-10-13 12:50:00,1,1,974,351,58,1,974,974.0,1.0,11688.0,351.0
12447,2011-04-10 13:25:00,1,1,417,187,243,1,417,417.0,1.0,5004.0,187.0
12448,2011-10-26 13:46:00,1,1,356,240,44,1,356,356.0,1.0,4272.0,240.0
12449,2011-11-17 13:46:00,4,4,3534,1523,22,4,3534,883.5,1.0,10602.0,380.75
12450,2011-07-06 14:41:00,2,2,194,128,156,2,194,97.0,1.0,1164.0,64.0
12451,2011-11-29 08:40:00,5,5,8854,6574,11,5,8854,1770.8,1.0,21249.6,1314.8
12452,2011-11-23 08:05:00,1,1,339,181,17,1,339,339.0,1.0,4068.0,181.0
12453,2011-07-28 14:08:00,1,1,686,473,134,1,686,686.0,1.0,8232.0,473.0
12454,2011-10-14 17:13:00,1,1,3523,1006,56,1,3523,3523.0,1.0,42276.0,1006.0
12455,2011-09-27 15:31:00,5,5,2302,2084,73,5,2302,460.4,1.0,5524.799999999999,416.8
12456,2011-10-26 14:41:00,3,3,2528,1618,44,3,2528,842.6666666666666,1.0,10112.0,539.3333333333334
12457,2011-10-04 13:13:00,6,6,2016,835,66,6,2016,336.0,1.0,4032.0,139.16666666666666
12458,2011-09-29 15:25:00,2,2,772,502,71,2,772,386.0,1.0,4632.0,251.0
12461,2011-07-08 10:23:00,1,1,614,282,155,1,614,614.0,1.0,7368.0,282.0
12462,2011-11-21 09:11:00,2,2,901,527,19,2,901,450.5,1.0,5406.0,263.5
12463,2011-10-17 13:44:00,4,4,1163,768,53,4,1163,290.75,1.0,3489.0,192.0
12464,2011-11-29 13:33:00,8,8,946,95,10,8,946,118.25,1.0,1419.0,11.875
12465,2011-11-22 16:34:00,2,2,665,475,17,2,665,332.5,1.0,3990.0,237.5
12468,2011-06-05 11:36:00,2,2,639,362,188,2,639,319.5,1.0,3834.0,181.0
12471,2011-12-07 15:43:00,27,27,17216,8104,2,27,17216,637.6296296296297,1.0,7651.555555555557,300.14814814814815
12472,2011-11-07 14:01:00,7,7,5940,4120,32,7,5940,848.5714285714286,1.0,10182.857142857143,588.5714285714286
12473,2011-10-17 11:27:00,3,3,2520,2419,54,3,2520,840.0,1.0,10080.0,806.3333333333334
12474,2011-11-22 14:39:00,18,18,6570,4812,17,18,6570,365.0,1.0,4380.0,267.3333333333333
12475,2011-10-17 10:10:00,1,1,655,532,54,1,655,655.0,1.0,7860.0,532.0
12476,2011-11-24 12:40:00,11,11,5800,2357,16,11,5800,527.2727272727273,1.0,6327.272727272727,214.27272727272728
12477,2011-11-17 09:51:00,6,6,13076,3653,23,6,13076,2179.3333333333335,1.0,26152.0,608.8333333333334
12478,2011-12-06 09:56:00,1,1,532,233,4,1,532,532.0,1.0,6384.0,233.0
12479,2011-11-28 13:26:00,1,1,462,382,11,1,462,462.0,1.0,5544.0,382.0
12480,2011-11-11 14:52:00,4,4,2818,1685,28,4,2818,704.5,1.0,8454.0,421.25
12481,2011-11-17 08:29:00,10,10,4940,3272,23,10,4940,494.0,1.0,5928.0,327.2
12483,2011-11-22 17:02:00,8,8,1884,1094,17,8,1884,235.5,1.0,2826.0,136.75
12484,2011-11-04 15:18:00,4,4,3768,2170,35,4,3768,942.0,1.0,11304.0,542.5
12488,2011-11-30 08:50:00,3,3,1218,526,10,3,1218,406.0,1.0,4872.0,175.33333333333334
12489,2011-01-07 13:13:00,1,1,290,103,336,1,290,290.0,1.0,3480.0,103.0
12490,2011-12-04 16:07:00,10,10,4751,3033,5,10,4751,475.1,1.0,5701.200000000001,303.3
12491,2011-11-01 12:18:00,1,1,412,258,39,1,412,412.0,1.0,4944.0,258.0
12492,2011-10-07 15:15:00,2,2,220,190,63,2,220,110.0,1.0,1320.0,95.0
12493,2011-06-27 10:17:00,2,2,403,206,166,2,403,201.5,1.0,2418.0,103.0
12494,2011-11-24 09:34:00,7,7,1049,698,16,7,1049,149.85714285714286,1.0,1798.2857142857142,99.71428571428571
12497,2011-09-19 12:29:00,1,1,948,1231,82,1,948,948.0,1.0,11376.0,1231.0
12498,2011-11-18 12:53:00,3,3,338,156,21,3,338,112.66666666666667,1.0,1352.0,52.0
12500,2011-11-16 16:20:00,11,11,4035,2667,23,11,4035,366.8181818181818,1.0,4401.818181818182,242.45454545454547
12501,2011-01-07 12:28:00,1,1,1953,1775,337,1,1953,1953.0,1.0,23436.0,1775.0
12502,2011-09-05 11:52:00,5,5,2921,794,96,5,2921,584.2,1.0,7010.400000000001,158.8
12504,2011-11-21 16:02:00,2,2,425,87,18,2,425,212.5,1.0,2550.0,43.5
12506,2011-04-21 08:54:00,1,1,57,23,233,1,57,57.0,1.0,684.0,23.0
12507,2011-07-28 17:09:00,3,3,1047,885,134,3,1047,349.0,1.0,4188.0,295.0
12508,2011-11-13 15:37:00,2,2,365,272,26,2,365,182.5,1.0,2190.0,136.0
12509,2011-02-28 14:45:00,1,1,156,54,284,1,156,156.0,1.0,1872.0,54.0
12510,2011-07-20 10:15:00,2,2,803,347,143,2,803,401.5,1.0,4818.0,173.5
12512,2011-10-04 14:55:00,2,2,115,99,66,2,115,57.5,1.0,690.0,49.5
12513,2011-08-19 10:51:00,1,1,544,459,113,1,544,544.0,1.0,6528.0,459.0
12514,2011-03-17 16:38:00,1,1,994,440,267,1,994,994.0,1.0,11928.0,440.0
12515,2010-12-21 15:43:00,1,1,271,128,353,1,271,271.0,1.0,3252.0,128.0
12516,2011-09-23 09:13:00,2,2,1178,868,78,2,1178,589.0,1.0,7068.0,434.0
12517,2011-11-11 13:57:00,4,4,2175,1361,28,4,2175,543.75,1.0,6525.0,340.25
12518,2011-12-09 10:13:00,5,5,1793,1306,1,5,1793,358.6,1.0,4303.200000000001,261.2
12519,2011-10-07 09:26:00,1,1,281,180,64,1,281,281.0,1.0,3372.0,180.0
12520,2011-09-21 15:23:00,5,5,2279,1423,79,5,2279,455.8,1.0,5469.6,284.6
12521,2011-07-20 10:51:00,1,1,525,306,143,1,525,525.0,1.0,6300.0,306.0
12522,2011-10-31 15:30:00,2,2,152,192,39,2,152,76.0,1.0,912.0,96.0
12523,2011-11-20 12:55:00,11,11,1650,860,19,11,1650,150.0,1.0,1800.0,78.18181818181819
12524,2011-11-30 15:31:00,8,8,3877,3669,9,8,3877,484.625,1.0,5815.5,458.625
12526,2011-12-09 12:09:00,3,3,1134,624,1,3,1134,378.0,1.0,4536.0,208.0
12527,2011-09-19 11:55:00,3,3,324,233,82,3,324,108.0,1.0,1296.0,77.66666666666667
12528,2011-11-30 14:40:00,6,6,1604,740,9,6,1604,267.3333333333333,1.0,3208.0,123.33333333333333
12530,2011-10-11 12:34:00,4,4,1467,904,60,4,1467,366.75,1.0,4401.0,226.0
12531,2011-11-25 11:12:00,1,1,115,45,15,1,115,115.0,1.0,1380.0,45.0
12532,2011-11-09 13:47:00,1,1,307,151,30,1,307,307.0,1.0,3684.0,151.0
12534,2011-08-01 10:26:00,1,1,951,645,131,1,951,951.0,1.0,11412.0,645.0
12535,2011-09-09 08:48:00,2,2,699,219,92,2,699,349.5,1.0,4194.0,109.5
12536,2011-10-11 14:52:00,1,1,4168,2801,59,1,4168,4168.0,1.0,50016.0,2801.0
12538,2011-11-10 17:16:00,1,1,354,191,29,1,354,354.0,1.0,4248.0,191.0
12539,2011-11-17 13:30:00,4,4,5421,2067,22,4,5421,1355.25,1.0,16263.0,516.75
12540,2011-11-20 11:31:00,17,17,11385,6620,20,17,11385,669.7058823529412,1.0,8036.470588235295,389.4117647058824
12541,2011-11-10 10:40:00,3,3,822,675,30,3,822,274.0,1.0,3288.0,225.0
12544,2011-11-03 16:15:00,1,1,309,134,36,1,309,309.0,1.0,3708.0,134.0
12545,2011-09-25 13:39:00,2,2,814,517,75,2,814,407.0,1.0,4884.0,258.5
12546,2011-10-24 12:09:00,2,2,992,628,47,2,992,496.0,1.0,5952.0,314.0
12547,2011-05-26 12:38:00,2,2,150,132,198,2,150,75.0,1.0,900.0,66.0
12548,2011-06-26 15:35:00,1,1,66,48,166,1,66,66.0,1.0,792.0,48.0
12550,2011-09-21 14:35:00,1,1,799,564,79,1,799,799.0,1.0,9588.0,564.0
12551,2010-12-17 11:23:00,1,1,163,100,358,1,163,163.0,1.0,1956.0,100.0
12552,2011-10-31 12:11:00,1,1,306,85,40,1,306,306.0,1.0,3672.0,85.0
12553,2011-12-01 16:38:00,10,10,3188,1942,8,10,3188,318.8,1.0,3825.6000000000004,194.2
12556,2011-10-20 13:06:00,2,2,530,358,50,2,530,265.0,1.0,3180.0,179.0
12557,2011-11-23 16:59:00,5,5,11985,4384,16,5,11985,2397.0,1.0,28764.0,876.8
12558,2011-12-02 10:41:00,1,1,266,196,8,1,266,266.0,1.0,3192.0,196.0
12559,2011-02-02 09:49:00,2,2,516,281,311,2,516,258.0,1.0,3096.0,140.5
12560,2011-12-04 13:54:00,2,2,1876,1098,5,2,1876,938.0,1.0,11256.0,549.0
12561,2011-02-10 11:39:00,1,1,230,177,303,1,230,230.0,1.0,2760.0,177.0
12562,2011-12-01 17:20:00,7,7,3301,1757,8,7,3301,471.57142857142856,1.0,5658.857142857143,251.0
12564,2011-03-23 14:55:00,1,1,389,130,261,1,389,389.0,1.0,4668.0,130.0
12565,2011-02-24 10:34:00,1,1,140,80,289,1,140,140.0,1.0,1680.0,80.0
12566,2011-09-14 14:30:00,1,1,289,262,86,1,289,289.0,1.0,3468.0,262.0
12567,2011-11-17 11:02:00,10,10,8404,4261,23,10,8404,840.4,1.0,10084.8,426.1
12569,2011-12-07 16:24:00,30,32,3082,1747,2,32,3082,96.3125,1.0666666666666667,1232.8,54.59375
12571,2011-10-31 10:19:00,2,2,507,523,40,2,507,253.5,1.0,3042.0,261.5
12572,2011-12-01 09:20:00,2,2,887,446,9,2,887,443.5,1.0,5322.0,223.0
12573,2011-04-26 15:52:00,1,1,146,84,227,1,146,146.0,1.0,1752.0,84.0
12574,2011-01-28 09:20:00,1,1,177,59,316,1,177,177.0,1.0,2124.0,59.0
12576,2011-11-04 10:11:00,5,5,1276,967,36,5,1276,255.2,1.0,3062.3999999999996,193.4
12577,2011-11-04 13:24:00,3,3,586,471,35,3,586,195.33333333333334,1.0,2344.0,157.0
12578,2011-11-18 13:30:00,2,2,2356,1182,21,2,2356,1178.0,1.0,14136.0,591.0
12579,2011-09-22 17:15:00,1,1,372,282,78,1,372,372.0,1.0,4464.0,282.0
12580,2011-04-07 10:24:00,1,1,369,236,247,1,369,369.0,1.0,4428.0,236.0
12581,2011-10-31 08:56:00,1,1,174,160,40,1,174,174.0,1.0,2088.0,160.0
12582,2011-04-15 08:45:00,2,2,342,296,239,2,342,171.0,1.0,2052.0,148.0
12583,2011-12-07 08:07:00,15,15,6611,5028,3,15,6611,440.73333333333335,1.0,5288.8,335.2
12584,2011-12-06 09:35:00,9,9,2199,413,4,9,2199,244.33333333333334,1.0,2932.0,45.888888888888886
12585,2011-04-19 13:39:00,2,2,1789,1267,234,2,1789,894.5,1.0,10734.0,633.5
12586,2011-11-22 16:24:00,1,1,190,79,17,1,190,190.0,1.0,2280.0,79.0
12587,2011-12-02 12:47:00,1,1,102,50,8,1,102,102.0,1.0,1224.0,50.0
12588,2011-10-31 15:01:00,1,1,170,52,39,1,170,170.0,1.0,2040.0,52.0
12589,2011-11-11 10:19:00,2,2,562,302,29,2,562,281.0,1.0,3372.0,151.0
12590,2011-05-12 14:46:00,1,1,9322,4282,211,1,9322,9322.0,1.0,111864.0,4282.0
12591,2011-01-26 14:35:00,1,1,356,225,317,1,356,356.0,1.0,4272.0,225.0
12592,2011-09-08 15:04:00,2,2,398,288,92,2,398,199.0,1.0,2388.0,144.0
12593,2011-08-23 12:43:00,3,3,372,204,109,3,372,124.0,1.0,1488.0,68.0
12594,2011-11-02 12:20:00,9,9,3162,1772,38,9,3162,351.3333333333333,1.0,4216.0,196.88888888888889
12596,2011-10-19 13:02:00,2,2,437,468,51,2,437,218.5,1.0,2622.0,234.0
12597,2011-11-20 13:33:00,4,4,3082,2214,19,4,3082,770.5,1.0,9246.0,553.5
12598,2011-11-30 12:18:00,7,7,2748,1952,10,7,2748,392.57142857142856,1.0,4710.857142857143,278.85714285714283
12599,2011-11-10 13:34:00,7,7,873,948,29,7,873,124.71428571428571,1.0,1496.5714285714284,135.42857142857142
12600,2011-11-11 10:29:00,10,10,2283,758,29,10,2283,228.3,1.0,2739.6000000000004,75.8
12601,2011-06-03 10:17:00,5,5,477,240,190,5,477,95.4,1.0,1144.8000000000002,48.0
12602,2011-10-12 11:22:00,1,1,149,162,59,1,149,149.0,1.0,1788.0,162.0
12603,2011-11-18 10:42:00,1,1,613,56,22,1,613,613.0,1.0,7356.0,56.0
12604,2011-09-21 14:08:00,2,2,229,200,79,2,229,114.5,1.0,1374.0,100.0
12607,2011-10-10 16:06:00,1,1,1540,1228,60,1,1540,1540.0,1.0,18480.0,1228.0
12609,2011-09-22 16:34:00,3,3,934,639,78,3,934,311.3333333333333,1.0,3736.0,213.0
12610,2011-11-17 09:34:00,4,4,1698,1039,23,4,1698,424.5,1.0,5094.0,259.75
12611,2011-10-18 13:12:00,1,1,1166,846,52,1,1166,1166.0,1.0,13992.0,846.0
12612,2011-09-26 15:35:00,1,1,663,260,74,1,663,663.0,1.0,7956.0,260.0
12613,2011-10-13 14:59:00,4,4,3021,1630,57,4,3021,755.25,1.0,9063.0,407.5
12614,2011-03-07 10:22:00,1,1,305,76,278,1,305,305.0,1.0,3660.0,76.0
12615,2011-12-07 15:02:00,4,4,2046,1365,2,4,2046,511.5,1.0,6138.0,341.25
12616,2011-09-05 15:17:00,2,2,627,280,95,2,627,313.5,1.0,3762.0,140.0
12617,2011-11-10 14:39:00,1,1,333,213,29,1,333,333.0,1.0,3996.0,213.0
12618,2011-11-18 11:10:00,1,1,131,95,22,1,131,131.0,1.0,1572.0,95.0
12619,2011-11-23 14:52:00,8,8,2921,3360,16,8,2921,365.125,1.0,4381.5,420.0
12620,2011-11-25 10:20:00,3,3,1261,1179,15,3,1261,420.3333333333333,1.0,5044.0,393.0
12621,2011-12-08 11:25:00,20,20,12210,7369,2,20,12210,610.5,1.0,7326.0,368.45
12622,2011-04-21 16:39:00,1,1,157,68,232,1,157,157.0,1.0,1884.0,68.0
12623,2011-03-08 13:50:00,1,1,261,189,276,1,261,261.0,1.0,3132.0,189.0
12624,2011-08-25 15:04:00,2,2,552,351,106,2,552,276.0,1.0,3312.0,175.5
12625,2011-05-12 09:54:00,2,2,2386,1597,212,2,2386,1193.0,1.0,14316.0,798.5
12626,2011-11-16 16:06:00,9,9,5828,3416,23,9,5828,647.5555555555555,1.0,7770.666666666666,379.55555555555554
12627,2011-11-29 12:07:00,6,6,3972,2730,11,6,3972,662.0,1.0,7944.0,455.0
12628,2011-12-05 13:15:00,3,3,717,445,4,3,717,239.0,1.0,2868.0,148.33333333333334
12630,2011-11-30 10:48:00,2,2,997,542,10,2,997,498.5,1.0,5982.0,271.0
12631,2011-10-13 13:53:00,1,1,464,232,57,1,464,464.0,1.0,5568.0,232.0
12633,2011-10-12 11:40:00,4,4,1878,1149,59,4,1878,469.5,1.0,5634.0,287.25
12635,2011-09-11 11:04:00,2,2,1462,1162,90,2,1462,731.0,1.0,8772.0,581.0
12637,2011-10-03 13:46:00,9,8,5637,2991,67,8,5637,704.625,0.8888888888888888,7515.999999999999,373.875
12638,2011-11-06 13:11:00,1,1,497,573,33,1,497,497.0,1.0,5964.0,573.0
12639,2011-04-15 12:48:00,1,1,358,198,239,1,358,358.0,1.0,4296.0,198.0
12640,2011-11-16 11:52:00,3,3,974,301,24,3,974,324.6666666666667,1.0,3896.0,100.33333333333333
12641,2011-08-16 13:26:00,1,1,142,71,115,1,142,142.0,1.0,1704.0,71.0
12642,2011-11-14 15:03:00,3,3,886,546,25,3,886,295.3333333333333,1.0,3544.0,182.0
12643,2011-08-03 12:56:00,6,6,3036,1788,128,6,3036,506.0,1.0,6072.0,298.0
12644,2011-08-02 10:33:00,1,1,463,325,130,1,463,463.0,1.0,5556.0,325.0
12645,2011-11-06 12:38:00,4,4,1602,1076,34,4,1602,400.5,1.0,4806.0,269.0
12646,2011-12-05 10:14:00,2,2,1331,897,5,2,1331,665.5,1.0,7986.0,448.5
12647,2011-11-17 12:56:00,12,12,3098,1399,22,12,3098,258.1666666666667,1.0,3098.0,116.58333333333333
12648,2011-07-08 11:55:00,1,1,292,159,155,1,292,292.0,1.0,3504.0,159.0
12649,2011-08-24 14:41:00,3,3,555,583,107,3,555,185.0,1.0,2220.0,194.33333333333334
12650,2011-12-06 16:34:00,1,1,235,250,3,1,235,235.0,1.0,2820.0,250.0
12651,2011-01-09 12:46:00,1,1,109,78,335,1,109,109.0,1.0,1308.0,78.0
12652,2011-01-12 15:00:00,1,1,774,498,331,1,774,774.0,1.0,9288.0,498.0
12653,2011-07-14 10:41:00,2,2,2192,919,149,2,2192,1096.0,1.0,13152.0,459.5
12654,2011-11-29 10:10:00,5,5,512,260,11,5,512,102.4,1.0,1228.8000000000002,52.0
12656,2011-11-22 13:42:00,5,5,3566,1699,17,5,3566,713.2,1.0,8558.400000000001,339.8
12657,2011-11-28 15:47:00,4,4,1405,1032,11,4,1405,351.25,1.0,4215.0,258.0
12658,2011-11-21 10:22:00,1,1,618,317,19,1,618,618.0,1.0,7416.0,317.0
12659,2011-11-10 11:53:00,1,1,73,104,30,1,73,73.0,1.0,876.0,104.0
12660,2011-11-28 13:26:00,1,1,220,126,11,1,220,220.0,1.0,2640.0,126.0
12662,2011-12-09 11:59:00,11,11,3436,2041,1,11,3436,312.3636363636364,1.0,3748.3636363636365,185.54545454545453
12664,2011-12-01 17:07:00,9,9,4384,1188,8,9,4384,487.1111111111111,1.0,5845.333333333333,132.0
12665,2011-01-19 08:34:00,1,1,45,36,325,1,45,45.0,1.0,540.0,36.0
12667,2011-10-12 17:00:00,1,1,444,391,58,1,444,444.0,1.0,5328.0,391.0
12668,2011-11-28 10:56:00,4,4,3106,1599,12,4,3106,776.5,1.0,9318.0,399.75
12669,2011-07-12 09:54:00,2,2,1389,1104,151,2,1389,694.5,1.0,8334.0,552.0
12670,2011-11-29 15:23:00,5,5,2705,1383,10,5,2705,541.0,1.0,6492.0,276.6
12672,2011-01-14 09:20:00,1,1,221,78,330,1,221,221.0,1.0,2652.0,78.0
12673,2011-12-04 13:55:00,2,2,553,349,5,2,553,276.5,1.0,3318.0,174.5
12674,2011-11-01 12:12:00,4,4,1816,1126,39,4,1816,454.0,1.0,5448.0,281.5
12676,2011-11-15 12:25:00,6,6,1076,664,25,6,1076,179.33333333333334,1.0,2152.0,110.66666666666667
12678,2011-10-28 13:04:00,10,10,16424,10901,42,10,16424,1642.4,1.0,19708.800000000003,1090.1
12679,2011-10-12 12:30:00,4,4,929,545,59,4,929,232.25,1.0,2787.0,136.25
12680,2011-12-09 12:50:00,4,4,770,439,1,4,770,192.5,1.0,2310.0,109.75
12681,2011-11-25 11:33:00,22,22,12081,7457,15,22,12081,549.1363636363636,1.0,6589.636363636364,338.95454545454544
12682,2011-12-06 10:00:00,31,31,10771,5505,4,31,10771,347.4516129032258,1.0,4169.419354838709,177.58064516129033
12683,2011-12-05 16:28:00,14,14,7488,4934,4,14,7488,534.8571428571429,1.0,6418.285714285715,352.42857142857144
